,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,298910418.752577,440912083.892208,0.0,0.0,45756884.973199
Tax Rate For Calcs,0.245009,0.250518,0.25333,0.254304,0.254205
Normalized EBITDA,184130000000.0,178320000000.0,182770000000.0,174600000000.0,176060000000.0
Total Unusual Items,1220000000.0,1760000000.0,0.0,0.0,180000000.0
Total Unusual Items Excluding Goodwill,1220000000.0,1760000000.0,0.0,0.0,180000000.0
Net Income From Continuing Operation Net Minority Interest,127600000000.0,122240000000.0,123800000000.0,119090000000.0,120400000000.0
Reconciled Depreciation,13610000000.0,13790000000.0,13770000000.0,12660000000.0,12200000000.0
Reconciled Cost Of Revenue,352990000000.0,277570000000.0,394750000000.0,398840000000.0,355760000000.0
EBITDA,185350000000.0,180080000000.0,182770000000.0,174600000000.0,176240000000.0
EBIT,171740000000.0,166290000000.0,169000000000.0,161940000000.0,164040000000.0
Net Interest Income,12240000000.0,30690000000.0,-2340000000.0,-1620000000.0,6120000000.0
Interest Expense,1950000000.0,2270000000.0,2340000000.0,1620000000.0,1730000000.0
Interest Income,14190000000.0,,,,7850000000.0
Normalized Income,126678910418.75258,120920912083.89221,123800000000.0,119090000000.0,120265756884.9732
Net Income From Continuing And Discontinued Operation,127600000000.0,122240000000.0,123800000000.0,119090000000.0,120400000000.0
Total Expenses,478980000000.0,487500000000.0,483160000000.0,487940000000.0,471280000000.0
Total Operating Income As Reported,,,,,154420000000.0
Diluted Average Shares,3618087518.0,,3618824905.0,3617557716.0,3618087518.0
Basic Average Shares,3618087518.0,,3618824905.0,3617557716.0,3618087518.0
Diluted EPS,35.27,,34.21,32.92,33.28
Basic EPS,35.27,,34.21,32.92,33.28
Diluted NI Availto Com Stockholders,127600000000.0,122240000000.0,123800000000.0,119090000000.0,120400000000.0
Net Income Common Stockholders,127600000000.0,122240000000.0,123800000000.0,119090000000.0,120400000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,127600000000.0,122240000000.0,123800000000.0,119090000000.0,120400000000.0
Minority Interests,-590000000.0,-690000000.0,-640000000.0,-460000000.0,-650000000.0
Net Income Including Noncontrolling Interests,128190000000.0,122930000000.0,124440000000.0,119550000000.0,121050000000.0
Net Income Continuous Operations,128190000000.0,122930000000.0,124440000000.0,119550000000.0,121050000000.0
Tax Provision,41600000000.0,41090000000.0,42220000000.0,40770000000.0,41260000000.0
Pretax Income,169790000000.0,164020000000.0,166660000000.0,160320000000.0,162310000000.0
Other Non Operating Income Expenses,220000000.0,-28750000000.0,12430000000.0,7290000000.0,140000000.0
Special Income Charges,-130000000.0,-930000000.0,0.0,0.0,-340000000.0
Other Special Charges,-120000000.0,,,,-90000000.0
Write Off,250000000.0,,,,430000000.0
Net Non Operating Interest Income Expense,12240000000.0,30690000000.0,-2340000000.0,-1620000000.0,6120000000.0
Interest Expense Non Operating,1950000000.0,2270000000.0,2340000000.0,1620000000.0,1730000000.0
Interest Income Non Operating,14190000000.0,,,,7850000000.0
Operating Income,155390000000.0,157290000000.0,156570000000.0,154650000000.0,154850000000.0
Operating Expense,125990000000.0,209930000000.0,88410000000.0,89100000000.0,115520000000.0
Other Operating Expenses,42370000000.0,-61990000000.0,74640000000.0,76440000000.0,41260000000.0
Depreciation And Amortization In Income Statement,13610000000.0,13790000000.0,13770000000.0,12660000000.0,12200000000.0
Depreciation Income Statement,13610000000.0,13790000000.0,13770000000.0,12660000000.0,12200000000.0
Selling General And Administration,38590000000.0,,,,32150000000.0
General And Administrative Expense,38590000000.0,,,,32150000000.0
Gross Profit,281380000000.0,367220000000.0,244980000000.0,243750000000.0,270370000000.0
Cost Of Revenue,352990000000.0,277570000000.0,394750000000.0,398840000000.0,355760000000.0
Total Revenue,634370000000.0,644790000000.0,639730000000.0,642590000000.0,626130000000.0
Operating Revenue,634370000000.0,644790000000.0,639730000000.0,642590000000.0,626130000000.0
